id,date,ticker,entry_price,exit_price,sl_price,tp1,tp2,status,fees,net_profit,forecast_type,forecast_score,trend_rating,earnings_day,executed_on_nordnet,created_at
14,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:53:54
17,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:54:06
20,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:54:31
23,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:56:31
26,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:56:34
29,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:56:40
32,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:59:42
35,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:01:54
38,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:07:51
41,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:09:39
44,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:12:06
47,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:12:10
50,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:15:09
